Id,Label,timeset,frequency,modularity_class
unseren Körper,unseren Körper,,114,12
Alizadeh,Alizadeh,,113,12
Tisch,Tisch,,111,54
Freunden,Freunden,,107,12
Zahnbürste,Zahnbürste,,103,12
Dezember,Dezember,,550,39
Familien,Familien,,494,12
Familie,Familie,,490,39
Hause,Hause,,430,17
Januar,Januar,,430,39
Auswahl,Auswahl,,413,27
Geld,Geld,,358,60
Bleib gesund,Bleib gesund,,345,57
Corona,Corona,,343,9
gesund,gesund,,312,57
Stars,Stars,,307,3
kaufen,kaufen,,303,28
Anrufe bei Sorgentelefonen,Anrufe bei Sorgentelefonen,,294,9
Geburtstag,Geburtstag,,278,63
Daniela,Daniela,,276,23
Karten,Karten,,270,10
Social Media,Social Media,,262,3
Herzen,Herzen,,233,57
Tür,Tür,,217,24
Qual der Wahl,Qual der Wahl,,202,9
Pyjama,Pyjama,,200,27
Buch,Buch,,186,80
Schokolade,Schokolade,,183,49
glänzendes Kunstnägel-Set,glänzendes Kunstnägel-Set,,167,9
Herzogin Kate,Herzogin Kate,,166,3
Namen,Namen,,143,39
Adventskalender,Adventskalender,,141,57
Mutter,Mutter,,139,20
Ideen,Ideen,,138,8
Weihnachtszeit,Weihnachtszeit,,136,27
Pyjamas,Pyjamas,,136,27
Prinz Harry,Prinz Harry,,133,3
Problem,Problem,,130,27
Ruhe,Ruhe,,126,1
Haus,Haus,,126,52
Meghan Markle,Meghan Markle,,122,3
Zubereitung,Zubereitung,,119,7
Planetary Health Diet,Planetary Health Diet,,116,57
Fans,Fans,,114,41
Lippenpeeling,Lippenpeeling,,113,9
Kekse,Kekse,,112,42
laut HoroskopLaut Horoskop,laut HoroskopLaut Horoskop,,106,4
Prozent der Befragten,Prozent der Befragten,,105,9
Gerichte,Gerichte,,103,7
Besonderes,Besonderes,,103,88
Silvester,Silvester,,103,9
Lippenpeeling mit Beerengeschmack,Lippenpeeling mit Beerengeschmack,,101,9
findest,findest,,506,10
Mädchen,Mädchen,,486,27
Tarotkarte,Tarotkarte,,264,10
unserem Sortiment,unserem Sortiment,,197,27
Ohrhörer,Ohrhörer,,191,52
Karte,Karte,,181,10
Klicke,Klicke,,178,10
Klicke einfach,Klicke einfach,,178,10
Wunschkarte,Wunschkarte,,178,10
Tageskarte findest,Tageskarte findest,,176,10
Tarot-Tageskarte,Tarot-Tageskarte,,176,10
Tageskarte,Tageskarte,,176,10
Blumenmuster,Blumenmuster,,151,27
NBA Chicago Bulls,NBA Chicago Bulls,,145,27
Kabellose,Kabellose,,123,52
Kartenetui aus Silikon,Kartenetui aus Silikon,,116,52
Handy,Handy,,105,52
nachhaltiger Ernährung,nachhaltiger Ernährung,,466,11
Trends und Diäten,Trends und Diäten,,466,11
Obst,Obst,,362,11
Eismaschine Mediterrane Küche,Eismaschine Mediterrane Küche,,361,11
enthalten,enthalten,,264,11
gesunde Lebensmittel,gesunde Lebensmittel,,263,11
Gesunde Lebensmittel,Gesunde Lebensmittel,,257,11
gesunde Lebensmittel bevorzugt,gesunde Lebensmittel bevorzugt,,255,11
StartseiteErnährungGesund essenGesunde,StartseiteErnährungGesund essenGesunde,,255,11
essenGesunde Lebensmittel,essenGesunde Lebensmittel,,255,11
StartseiteErnährungGesund essenGesunde Lebensmittel,StartseiteErnährungGesund essenGesunde Lebensmittel,,255,11
Ernährung Weihnachtsessen,Ernährung Weihnachtsessen,,224,11
Bummel übern Weihnachtsmarkt,Bummel übern Weihnachtsmarkt,,742,12
Familienalltag,Familienalltag,,482,12
Kinder und Großeltern,Kinder und Großeltern,,482,12
eher medizinische Themen,eher medizinische Themen,,482,12
Diagnose für Mutter,Diagnose für Mutter,,482,12
StartseiteFamilie Gesundheit,StartseiteFamilie Gesundheit,,476,12
schön anstrengend,schön anstrengend,,265,12
min.Kinder lieben Spiele,min.Kinder lieben Spiele,,260,12
min.Kinder lieben,min.Kinder lieben,,260,12
Familie Spaß haben.Fakt,Familie Spaß haben.Fakt,,260,12
Familienleben,Familienleben,,260,12
Familienleben kann manchmal,Familienleben kann manchmal,,260,12
Raum Schöne Ferien,Raum Schöne Ferien,,260,12
StartseiteFamilieFamilienleben Das Familienleben,StartseiteFamilieFamilienleben Das Familienleben,,256,12
Stunden,Stunden,,212,42
Ringe schneiden,Ringe schneiden,,692,15
würfeln,würfeln,,430,37
abziehen,abziehen,,420,15
Chili,Chili,,400,15
feine Ringe schneiden,feine Ringe schneiden,,340,15
Zwiebeln abziehen,Zwiebeln abziehen,,304,15
Media Links Kategorien,Media Links Kategorien,,294,49
Knoblauch abziehen,Knoblauch abziehen,,268,15
Würfel schneiden,Würfel schneiden,,265,15
Knoblauch,Knoblauch,,258,15
Ringe,Ringe,,239,15
Chili in Ringe,Chili in Ringe,,208,15
Sternanis und Zimt,Sternanis und Zimt,,208,15
Würfel bzw,Würfel bzw,,208,15
Minuten köcheln lassen,Minuten köcheln lassen,,204,15
Lauchzwiebeln waschen,Lauchzwiebeln waschen,,152,15
feine Ringe,feine Ringe,,132,15
Stunden Garzeit Blumenkohl,Stunden Garzeit Blumenkohl,,132,15
Piment,Piment,,132,15
Nelken und Piment,Nelken und Piment,,132,15
Wasser auffüllen,Wasser auffüllen,,132,15
hacken,hacken,,106,48
Grippeimpfung,Grippeimpfung,,687,13
Menge Tipps,Menge Tipps,,424,13
Medizin,Medizin,,423,13
medizinische Fakten,medizinische Fakten,,421,13
Krankheiten und Symptomen,Krankheiten und Symptomen,,421,13
Kindern Laktoseintoleranz,Kindern Laktoseintoleranz,,421,13
Fakten und Neuigkeiten,Fakten und Neuigkeiten,,421,13
StartseiteMedizin Gesundheit,StartseiteMedizin Gesundheit,,417,13
Impfstoff,Impfstoff,,346,13
Impfung,Impfung,,344,13
Fruktose oder Gluten,Fruktose oder Gluten,,300,74
Risiko,Risiko,,287,13
Grippe impfen lassen,Grippe impfen lassen,,266,13
Doppelinfektion verringern,Doppelinfektion verringern,,266,13
Regine Heilbronn,Regine Heilbronn,,266,13
Risiko einer Doppelinfektion,Risiko einer Doppelinfektion,,266,13
schwere Krankheitsverläufe,schwere Krankheitsverläufe,,266,13
Grippeimpfung schützt,Grippeimpfung schützt,,222,13
Grippe,Grippe,,219,13
inneren Werte,inneren Werte,,605,14
Ruhe und Entspannung,Ruhe und Entspannung,,605,14
Entspannung Sicher Schwimmen,Entspannung Sicher Schwimmen,,605,14
Zwiebel,Zwiebel,,638,48
Zwiebel abziehen,Zwiebel abziehen,,460,48
Stück,Stück,,408,48
fein würfeln,fein würfeln,,328,48
würfeln bzw. hacken,würfeln bzw. hacken,,228,48
bzw. hacken,bzw. hacken,,214,48
würfeln bzw.,würfeln bzw.,,208,48
Knoblauch und Zwiebel,Knoblauch und Zwiebel,,208,48
fein würfeln bzw.,fein würfeln bzw.,,208,48
