Id,Label,timeset,modularity_class
gesund,gesund,,10
OHG,OHG,,10
StartseiteBleib gesund,StartseiteBleib gesund,,10
StartseiteBleib,StartseiteBleib,,10
Bleib,Bleib,,10
Seite,Seite,,10
Hause,Hause,,11
Kosmetik und Wellness,Kosmetik und Wellness,,11
Beauty Maskne,Beauty Maskne,,11
unseren täglichen Begleitern,unseren täglichen Begleitern,,11
hilft gegen Pickel,hilft gegen Pickel,,11
Haarpflege,Haarpflege,,11
Infos zur Haut,Infos zur Haut,,11
Tipps und Infos,Tipps und Infos,,11
Infos,Infos,,11
StartseiteWohlbefindenBeauty Sich wohlfühlen,StartseiteWohlbefindenBeauty Sich wohlfühlen,,11
Einfache Hantelübungen,Einfache Hantelübungen,,11
Fakten Folge,Fakten Folge,,11
unbedingt ins Fitnessstudio,unbedingt ins Fitnessstudio,,11
daheim Zahlen,daheim Zahlen,,11
Hantelübungen für daheim,Hantelübungen für daheim,,11
Trainiert Rücken Schultern,Trainiert Rücken Schultern,,11
Fitnessstudio,Fitnessstudio,,11
Hanteltraining,Hanteltraining,,11
Daten,Daten,,10
Verarbeitung personenbezogener Daten,Verarbeitung personenbezogener Daten,,10
personenbezogenen Daten,personenbezogenen Daten,,10
Google,Google,,10
Google Ads,Google Ads,,10
Übermittlung personenbezogener Daten,Übermittlung personenbezogener Daten,,10
Verarbeitung,Verarbeitung,,10
Verarbeitung persönlicher Informationen,Verarbeitung persönlicher Informationen,,10
technische Daten etc.,technische Daten etc.,,14
technische Daten,technische Daten,,14
Daten etc.,Daten etc.,,14
aktuellen Preisliste,aktuellen Preisliste,,14
Studie,Studie,,15
Studie zeigt,Studie zeigt,,36
aktuelle Studie zeigt,aktuelle Studie zeigt,,36
min.Eine aktuelle Studie,min.Eine aktuelle Studie,,36
min.Eine Studie zeigt,min.Eine Studie zeigt,,36
zeigt,zeigt,,36
aktuelle Studie,aktuelle Studie,,36
Anrufe bei Sorgentelefonen,Anrufe bei Sorgentelefonen,,36
Jugendliche unterstützen Kaffeekirschen,Jugendliche unterstützen Kaffeekirschen,,36
min.Eine Studie,min.Eine Studie,,36
frischen Bärlauch Melatonin,frischen Bärlauch Melatonin,,36
aktuelle,aktuelle,,36
Linderung durch Foto,Linderung durch Foto,,36
Meldungen und News,Meldungen und News,,36
Heilmittel Schmerzen,Heilmittel Schmerzen,,36
Bio-Lebensmittel wächst Frauengesundheit,Bio-Lebensmittel wächst Frauengesundheit,,36
Symptome und Behandlung,Symptome und Behandlung,,36
Partners Chlamydien,Partners Chlamydien,,36
psychischen Erkrankungen,psychischen Erkrankungen,,15
Erkrankungen,Erkrankungen,,15
Bärlauch Melatonin,Bärlauch Melatonin,,36
mentale Gesundheit Appetit,mentale Gesundheit Appetit,,36
Generation,Generation,,15
Generation Boomer,Generation Boomer,,15
höheres Risiko,höheres Risiko,,15
Melatonin und Einschlafprobleme,Melatonin und Einschlafprobleme,,36
englischen Studie,englischen Studie,,15
Teilnehmer,Teilnehmer,,15
Bluthochdruck,Bluthochdruck,,15
Foto des Partners,Foto des Partners,,36
Einschlafprobleme Jodtabletten,Einschlafprobleme Jodtabletten,,36
Kurkuma kein Heilmittel,Kurkuma kein Heilmittel,,36
Beziehung und Schwangerschaft,Beziehung und Schwangerschaft,,36
toxischen Beziehungen,toxischen Beziehungen,,36
glücklich Rat gesucht,glücklich Rat gesucht,,36
Handtaschen Kurkuma,Handtaschen Kurkuma,,36
min.Eine,min.Eine,,36
unterstützen Kaffeekirschen,unterstützen Kaffeekirschen,,36
Ablenkungsfaktor Beifahrer,Ablenkungsfaktor Beifahrer,,36
Beifahrer Gute Vorsätze,Beifahrer Gute Vorsätze,,36
Wochen alkoholfrei,Wochen alkoholfrei,,36
unterschiedlich Ablenkungsfaktor Beifahrer,unterschiedlich Ablenkungsfaktor Beifahrer,,36
Eltern unterschiedlich Ablenkungsfaktor,Eltern unterschiedlich Ablenkungsfaktor,,36
Hate Speech nehmen,Hate Speech nehmen,,36
Fake News,Fake News,,36
Hate Speech,Hate Speech,,36
rauer Weihnachten,rauer Weihnachten,,36
Bio-Weihnachtsbäume zum Fest,Bio-Weihnachtsbäume zum Fest,,36
News Männer lassen,News Männer lassen,,36
News Männer,News Männer,,36
Sehstörungen depressiv,Sehstörungen depressiv,,36
Verseuchung vorsorglich einzunehmen,Verseuchung vorsorglich einzunehmen,,36
atomaren Verseuchung vorsorglich,atomaren Verseuchung vorsorglich,,36
News Citizen Science,News Citizen Science,,36
Brennen im Intimbereich,Brennen im Intimbereich,,36
Juckreiz und Brennen,Juckreiz und Brennen,,36
Infektionszahlen steigen Auffrischungsimpfungen,Infektionszahlen steigen Auffrischungsimpfungen,,36
Facetten.Die Infektionszahlen steigen,Facetten.Die Infektionszahlen steigen,,36
News Rat gesucht,News Rat gesucht,,36
Corona Kinder zuckerkrank,Corona Kinder zuckerkrank,,36
Foto des Liebsten,Foto des Liebsten,,36
Facetten.Die Inzidenzen steigen,Facetten.Die Inzidenzen steigen,,36
News Weihnachten,News Weihnachten,,36
Kinder glücklich Rat,Kinder glücklich Rat,,36
Sehstörungen können Depressionen,Sehstörungen können Depressionen,,36
News Machen Sehstörungen,News Machen Sehstörungen,,36
News Vier Wochen,News Vier Wochen,,36
vorbeugen Citizen Science,vorbeugen Citizen Science,,36
Marotte Konzentriert arbeiten,Marotte Konzentriert arbeiten,,12
Psyche Zwangsstörungen,Psyche Zwangsstörungen,,12
Marotte Konzentriert,Marotte Konzentriert,,12
Entspannung Homeoffice,Entspannung Homeoffice,,12
Tipps gegen Schlafstörungen,Tipps gegen Schlafstörungen,,12
Einsamkeit Folge,Einsamkeit Folge,,12
Psyche kümmert,Psyche kümmert,,12
Arbeitsalltag Angst überwinden,Arbeitsalltag Angst überwinden,,12
Arbeitsalltag Angst,Arbeitsalltag Angst,,12
Kontrolle Tipps,Kontrolle Tipps,,12
Konzentriert arbeiten,Konzentriert arbeiten,,12
Arbeitsalltag Diese Scheißangst,Arbeitsalltag Diese Scheißangst,,12
Scheißangst Tipps,Scheißangst Tipps,,12
krank Stress abbauen,krank Stress abbauen,,13
Schnell mal locker,Schnell mal locker,,13
Entspannungstechniken lernen Blitzentspannung,Entspannungstechniken lernen Blitzentspannung,,13
Lesen Entspannungstechniken lernen,Lesen Entspannungstechniken lernen,,13
Aktiv abschalten Warm,Aktiv abschalten Warm,,13
Warm baden Anspannung,Warm baden Anspannung,,13
draußen Lesen Entspannungstechniken,draußen Lesen Entspannungstechniken,,13
wegatmen Verspannungen wegmassieren,wegatmen Verspannungen wegmassieren,,13
einfach wegatmen Verspannungen,einfach wegatmen Verspannungen,,13
abschalten Warm baden,abschalten Warm baden,,13
Preise Allgemeine Geschäftsbedingungen,Preise Allgemeine Geschäftsbedingungen,,14
Preise Allgemeine,Preise Allgemeine,,14
Allgemeine Geschäftsbedingungen,Allgemeine Geschäftsbedingungen,,14
StartseiteMediadaten Informationen,StartseiteMediadaten Informationen,,14
individuelles Angebot,individuelles Angebot,,14
Werbegeschäft in Online-MedienSie,Werbegeschäft in Online-MedienSie,,14
Kürbis bitter schmeckt,Kürbis bitter schmeckt,,35
gefälschte Impfpässe Vorsicht,gefälschte Impfpässe Vorsicht,,36
Achtung gefälschte Impfpässe,Achtung gefälschte Impfpässe,,36
heilbar Achtung gefälschte,heilbar Achtung gefälschte,,36
Impfpässe Vorsicht,Impfpässe Vorsicht,,36
News Vorlesestudie belegt,News Vorlesestudie belegt,,36
wichtig Blutdruck senken,wichtig Blutdruck senken,,36
News Blutdruck senken,News Blutdruck senken,,36
Prozent der Befragten,Prozent der Befragten,,15
Früherkennung sind wichtig,Früherkennung sind wichtig,,15
aufschieben Vorsorgeuntersuchung,aufschieben Vorsorgeuntersuchung,,15
Zahnarzt zählt Folge,Zahnarzt zählt Folge,,15
Vorsorgeuntersuchung und Früherkennung,Vorsorgeuntersuchung und Früherkennung,,15
Deutschland notwendige Arztbesuche,Deutschland notwendige Arztbesuche,,15
Zahnarzt,Zahnarzt,,15
